state,district,hri_normalised,hri_score,hri_category,intrastate_rank
Andaman & Nicobar,Nicobars,0.781577321,4.0,High,1
Andaman & Nicobar,South Andaman,0.76831695,3.0,moderate,2
Andhra Pradesh,Krishna,0.896569043,5.0,Very high,1
Andhra Pradesh,West Godavari,0.88691747,5.0,Very high,2
Andhra Pradesh,Guntur,0.880629549,5.0,Very high,3
Andhra Pradesh,East Godavari,0.861439535,5.0,Very high,4
Andhra Pradesh,Srikakulam,0.85772155,5.0,Very high,5
Andhra Pradesh,Kurnool,0.828395067,4.0,High,6
Andhra Pradesh,Anantapur,0.826314815,4.0,High,7
Andhra Pradesh,Chittoor,0.815752802,4.0,High,8
Andhra Pradesh,Vizianagaram,0.807198733,4.0,High,9
Andhra Pradesh,Visakhapatna M,0.800790365,4.0,High,10
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.800119334,4.0,High,11
Andhra Pradesh,Prakasam,0.79836359,4.0,High,12
Andhra Pradesh,Y.S.R.,0.784981427,4.0,High,13
Arunachal Pradesh,Kurung Kumey,0.702065836,3.0,moderate,1
Arunachal Pradesh,Kra Daadi,0.663388789,2.0,low,2
Arunachal Pradesh,East Kameng,0.651288835,2.0,low,3
Arunachal Pradesh,Shi Yomi,0.63959833,2.0,low,4
Arunachal Pradesh,Upper Subansiri,0.63592892,2.0,low,5
Arunachal Pradesh,Tawang,0.611558474,2.0,low,6
Arunachal Pradesh,Kamle,0.599442143,2.0,low,7
Arunachal Pradesh,Upper Siang,0.595808494,2.0,low,8
Arunachal Pradesh,West Kameng,0.593531918,2.0,low,9
Arunachal Pradesh,Siang,0.581771767,2.0,low,10
Arunachal Pradesh,Upper Dibang Valley,0.578961523,2.0,low,11
Arunachal Pradesh,Pakke,0.578578762,2.0,low,12
Arunachal Pradesh,Lower Siang,0.575910395,2.0,low,13
Arunachal Pradesh,West Siang,0.574026667,2.0,low,14
Arunachal Pradesh,Lepa Rada,0.563961264,2.0,low,15
Arunachal Pradesh,Longding,0.546032066,2.0,low,16
Arunachal Pradesh,Tirap,0.525363223,2.0,low,17
Arunachal Pradesh,Lower Subansiri,0.521350314,2.0,low,18
Arunachal Pradesh,Changlang,0.45574877,1.0,very low,19
Arunachal Pradesh,Anjaw,0.420995592,1.0,very low,20
Arunachal Pradesh,Papum Pare,0.408073015,1.0,very low,21
Arunachal Pradesh,East Siang,0.383957582,1.0,very low,22
Arunachal Pradesh,Namsai,0.350016784,1.0,very low,23
Arunachal Pradesh,Lower Dibang Valley,0.292463995,1.0,very low,24
Arunachal Pradesh,Lohit,0.193846185,1.0,very low,25
Assam,Karimganj,0.778078483,4.0,High,1
Assam,Hailakandi,0.745666399,3.0,moderate,2
Assam,Cachar,0.641259197,2.0,low,3
Assam,Hojai,0.635177607,2.0,low,4
Assam,Dima Hasao,0.6291266,2.0,low,5
Assam,West Karbi Anglong,0.618291476,2.0,low,6
Assam,South Salmara Mancachar,0.555523818,2.0,low,7
Assam,Karbi Anglong,0.540864843,2.0,low,8
Assam,Golaghat,0.428281749,1.0,very low,9
Assam,Dhemaji,0.394625045,1.0,very low,10
Assam,Jorhat,0.394198427,1.0,very low,11
Assam,Morigaon,0.391183876,1.0,very low,12
Assam,Kamrup Metropolitan,0.387822933,1.0,very low,13
Assam,Dhubri,0.376900063,1.0,very low,14
Assam,Charaideo,0.375685155,1.0,very low,15
Assam,Goalpara,0.359834313,1.0,very low,16
Assam,Nagaon,0.356987188,1.0,very low,17
Assam,Dibrugarh,0.345209839,1.0,very low,18
Assam,Sivasagar,0.330336201,1.0,very low,19
Assam,Sonitpur,0.328707072,1.0,very low,20
Assam,Majuli,0.31048594,1.0,very low,21
Assam,Biswanath,0.279823493,1.0,very low,22
Assam,Tinsukia,0.268034551,1.0,very low,23
Assam,Darrang,0.255682055,1.0,very low,24
Assam,Kamrup,0.249206337,1.0,very low,25
Assam,Bongaigaon,0.236374429,1.0,very low,26
Assam,Nalbari,0.226935353,1.0,very low,27
Assam,Lakhimpur,0.221406681,1.0,very low,28
Assam,Kokrajhar,0.200845732,1.0,very low,29
Assam,Barpeta,0.186910623,1.0,very low,30
Assam,Udalguri,0.109398489,1.0,very low,31
Assam,Chirang,0.102719825,1.0,very low,32
Assam,Baksa,0.0,1.0,very low,33
Bihar,Gopalganj,0.81439,4.0,High,1
Bihar,Purba Champaran,0.813645,4.0,High,2
Bihar,Pashchim Champaran,0.811583,4.0,High,3
Bihar,Sheohar,0.808847,4.0,High,4
Bihar,Sitamarhi,0.79626,4.0,High,5
Bihar,Aurangabad,0.790045,4.0,High,6
Bihar,Aurangabad,0.790045,4.0,High,6
Bihar,Siwan,0.78911,4.0,High,8
Bihar,Muzaffarpur,0.788649,4.0,High,9
Bihar,Darbhanga,0.784714,4.0,High,10
Bihar,Rohtas,0.775659,4.0,High,11
Bihar,Buxar,0.77555,4.0,High,12
Bihar,Bhojpur,0.771776,3.0,moderate,13
Bihar,Madhubani,0.770467,3.0,moderate,14
Bihar,Arwal,0.770085,3.0,moderate,15
Bihar,Supaul,0.768928,3.0,moderate,16
Bihar,Samastipur,0.768739,3.0,moderate,17
Bihar,Kaimur (Bhabua),0.766277,3.0,moderate,18
Bihar,Begusarai,0.765112,3.0,moderate,19
Bihar,Purnia,0.764784,3.0,moderate,20
Bihar,Jehanabad,0.762565,3.0,moderate,21
Bihar,Khagaria,0.762064,3.0,moderate,22
Bihar,Saran,0.761452,3.0,moderate,23
Bihar,Saharsa,0.760555,3.0,moderate,24
Bihar,Munger,0.758138,3.0,moderate,25
Bihar,Katihar,0.75229,3.0,moderate,26
Bihar,Lakhisarai,0.751787,3.0,moderate,27
Bihar,Madhepura,0.750787,3.0,moderate,28
Bihar,Araria,0.750142,3.0,moderate,29
Bihar,Gaya,0.74841,3.0,moderate,30
Bihar,Patna,0.746699,3.0,moderate,31
Bihar,Nalanda,0.745556,3.0,moderate,32
Bihar,Bhagalpur,0.745186,3.0,moderate,33
Bihar,Jamui,0.744747,3.0,moderate,34
Bihar,Sheikhpura,0.744214,3.0,moderate,35
Bihar,Nawada,0.742466,3.0,moderate,36
Bihar,Vaishali,0.739205,3.0,moderate,37
Bihar,Banka,0.728816,3.0,moderate,38
Bihar,Kishanganj,0.668991,2.0,low,39
Chandigarh,Chandigarh,0.723283384,3.0,moderate,1
Chhattisgarh,Kabeerdham,0.835446349,4.0,High,1
Chhattisgarh,Durg,0.827628874,4.0,High,2
Chhattisgarh,Rajnandgaon,0.82592457,4.0,High,3
Chhattisgarh,Mungeli,0.824086194,4.0,High,4
Chhattisgarh,Raipur,0.795645779,4.0,High,5
Chhattisgarh,Gariaband,0.792829595,4.0,High,6
Chhattisgarh,Jashpur,0.789033162,4.0,High,7
Chhattisgarh,Balod,0.78726428,4.0,High,8
Chhattisgarh,Bametara,0.785488854,4.0,High,9
Chhattisgarh,Raigarh,0.77871212,4.0,High,10
Chhattisgarh,Janjgir - Champa,0.776813298,4.0,High,11
Chhattisgarh,Uttar Bastar Kanker,0.774580359,4.0,High,12
Chhattisgarh,Dhamtari,0.773684049,4.0,High,13
Chhattisgarh,Korba,0.768325883,3.0,moderate,14
Chhattisgarh,Bastar,0.760358328,3.0,moderate,15
Chhattisgarh,Kondagaon,0.756701426,3.0,moderate,16
Chhattisgarh,Surajpur,0.756185722,3.0,moderate,17
Chhattisgarh,Mahasamund,0.756063195,3.0,moderate,18
Chhattisgarh,Balrampur,0.754593899,3.0,moderate,19
Chhattisgarh,Baloda Bazar,0.751531285,3.0,moderate,20
Chhattisgarh,Bijapur,0.751308379,3.0,moderate,21
Chhattisgarh,Surguja,0.748951718,3.0,moderate,22
Chhattisgarh,Koriya,0.746482618,3.0,moderate,23
Chhattisgarh,Dakshin Bastar Dantewada,0.738591882,3.0,moderate,24
Chhattisgarh,Sukma,0.724197873,3.0,moderate,25
Chhattisgarh,Narayanpur,0.718379083,3.0,moderate,26
Dadra & Nagar Havelili,Dadra & Nagar Haveli,0.867069816,5.0,Very high,1
Daman & Diu,Diu,0.818063303,4.0,High,1
Daman & Diu,Daman,0.792568695,4.0,High,2
Delhi,South West,0.859204777,5.0,Very high,1
Delhi,North West,0.858898982,5.0,Very high,2
Delhi,North,0.858369359,5.0,Very high,3
