state,district,anaemia_pregnant_pct,antenatal_first_trimester_pct,institutional_births_pct,postnatal_care_pct,underweight_pct,hri_normalised,hri_score,hri_category,intrastate_rank
Andhra Pradesh,Anantapur,54.9,80.3,94.7,89.1,40.6,0.826314815,4,High,7
Andhra Pradesh,Chittoor,52.7,80.3,97.1,93.8,27.9,0.815752802,4,High,8
Andhra Pradesh,East Godavari,,76.3,96.6,91.9,22.4,0.861439535,5,Very high,4
Andhra Pradesh,Guntur,51.9,89.4,98.6,94.0,26.9,0.880629549,5,Very high,3
Andhra Pradesh,Krishna,,81.5,98.9,88.3,21.1,0.896569043,5,Very high,1
Andhra Pradesh,Kurnool,67.8,78.6,88.5,87.8,46.3,0.828395067,4,High,6
Andhra Pradesh,Prakasam,,84.7,97.4,90.1,24.7,0.79836359,4,High,12
Andhra Pradesh,Sri Potti Sriramulu Nellore,,89.0,97.0,95.5,27.8,0.800119334,4,High,11
Andhra Pradesh,Srikakulam,,79.7,97.9,90.8,21.4,0.85772155,5,Very high,5
Andhra Pradesh,Vizianagaram,,76.1,99.0,83.9,32.2,0.807198733,4,High,9
Andhra Pradesh,West Godavari,,82.2,98.7,94.8,22.5,0.88691747,5,Very high,2
Andhra Pradesh,Y.S.R.,57.6,84.4,99.4,92.3,26.7,0.784981427,4,High,13
Assam,Baksa,65.3,61.1,89.9,65.0,34.0,0.0,1,very low,33
Assam,Barpeta,47.6,62.2,87.6,70.5,26.2,0.186910623,1,very low,30
Assam,Biswanath,45.1,41.2,84.3,56.5,41.0,0.279823493,1,very low,22
Assam,Bongaigaon,51.2,65.1,84.5,57.0,35.3,0.236374429,1,very low,26
Assam,Cachar,44.0,52.0,79.2,57.3,38.2,0.641259197,2,low,3
Assam,Charaideo,61.6,74.1,88.2,70.5,34.8,0.375685155,1,very low,15
Assam,Chirang,54.1,55.9,83.7,59.7,39.7,0.102719825,1,very low,32
Assam,Darrang,51.6,56.5,84.4,53.2,33.1,0.255682055,1,very low,24
Assam,Dhemaji,61.7,76.2,87.3,72.8,25.7,0.394625045,1,very low,10
Assam,Dhubri,69.7,49.9,64.2,48.4,37.8,0.376900063,1,very low,14
Assam,Dibrugarh,47.2,75.8,93.1,82.1,32.0,0.345209839,1,very low,18
Assam,Dima Hasao,43.3,58.9,89.5,73.8,21.7,0.6291266,2,low,5
Assam,Goalpara,49.2,65.3,92.3,73.5,35.4,0.359834313,1,very low,16
Assam,Golaghat,76.7,76.1,90.4,73.5,25.5,0.428281749,1,very low,9
Assam,Hailakandi,58.7,77.6,83.0,68.8,42.4,0.745666399,3,moderate,2
Assam,Hojai,51.4,52.7,82.1,63.9,28.4,0.635177607,2,low,4
Assam,Jorhat,56.4,78.3,96.5,81.4,33.2,0.394198427,1,very low,11
Assam,Kamrup,66.5,57.0,85.0,61.4,19.7,0.249206337,1,very low,25
Assam,Kamrup Metropolitan,56.4,77.6,89.1,75.6,25.0,0.387822933,1,very low,13
